post,account,date,year,n_char,n_words
melodie_michelberger_111214.txt,melodie_michelberger,111214,14,208,19
milenka.emilia_101215.txt,milenka.emilia,101215,15,1073,160
milenka.emilia_071916.txt,milenka.emilia,071916,16,387,67
anjazeidler_120315.txt,anjazeidler,120315,15,395,44
morenadiaz_022216.txt,morenadiaz,022216,16,1942,336
melodie_michelberger_091616.txt,melodie_michelberger,091616,16,326,47
morenadiaz_062815.txt,morenadiaz,062815,15,1044,170
anjazeidler_092216.txt,anjazeidler,092216,16,279,38
morenadiaz_112316.txt,morenadiaz,112316,16,502,92
morenadiaz_010515.txt,morenadiaz,010515,15,482,84
morenadiaz_012316.txt,morenadiaz,012316,16,1585,262
morenadiaz_092516.txt,morenadiaz,092516,16,1159,181
morenadiaz_091816.txt,morenadiaz,091816,16,472,85
curvesarewonderful_082016.txt,curvesarewonderful,082016,16,341,37
morenadiaz_040915.txt,morenadiaz,040915,15,383,62
morenadiaz_102515.txt,morenadiaz,102515,15,611,89
morenadiaz_080516.txt,morenadiaz,080516,16,844,151
morenadiaz_082315.txt,morenadiaz,082315,15,838,131
morenadiaz_082116.txt,morenadiaz,082116,16,1375,227
dr.med.mareike.awe_122716.txt,dr.med.mareike.awe,122716,16,620,75
angeliquelini_111316.txt,angeliquelini,111316,16,275,44
melodie_michelberger_080915.txt,melodie_michelberger,080915,15,359,46
milenka.emilia_060615.txt,milenka.emilia,060615,15,841,124
morenadiaz_122015.txt,morenadiaz,122015,15,533,94
curvesarewonderful_112016.txt,curvesarewonderful,112016,16,419,42
morenadiaz_120416.txt,morenadiaz,120416,16,1820,322
morenadiaz_022215.txt,morenadiaz,022215,15,1676,249
morenadiaz_010516.txt,morenadiaz,010516,16,988,153
anjazeidler_051316.txt,anjazeidler,051316,16,388,60
curvesarewonderful_082216.txt,curvesarewonderful,082216,16,487,66
morenadiaz_053016.txt,morenadiaz,053016,16,663,112
melodie_michelberger_052515.txt,melodie_michelberger,052515,15,313,41
morenadiaz_061715.txt,morenadiaz,061715,15,459,70
melodie_michelberger_031515.txt,melodie_michelberger,031515,15,305,39
dr.med.mareike.awe_020116.txt,dr.med.mareike.awe,020116,16,399,57
anina.gepp_110216.txt,anina.gepp,110216,16,1679,312
morenadiaz_032615.txt,morenadiaz,032615,15,877,135
charlotte_weise_010616.txt,charlotte_weise,010616,16,331,38
angeliquelini_052416.txt,angeliquelini,052416,16,489,69
milenka.emilia_081615.txt,milenka.emilia,081615,15,949,140
angeliquelini_110816.txt,angeliquelini,110816,16,565,82
angeliquelini_081316.txt,angeliquelini,081316,16,387,68
morenadiaz_020615.txt,morenadiaz,020615,15,809,129
melodie_michelberger_011216.txt,melodie_michelberger,011216,16,449,72
morenadiaz_120615.txt,morenadiaz,120615,15,498,71
morenadiaz_030416.txt,morenadiaz,030416,16,146,24
anina.gepp_110616.txt,anina.gepp,110616,16,468,84
milenka.emilia_070415.txt,milenka.emilia,070415,15,1377,199
angeliquelini_123016.txt,angeliquelini,123016,16,380,54
anina.gepp_120716.txt,anina.gepp,120716,16,490,92
morenadiaz_100516.txt,morenadiaz,100516,16,755,127
dr.med.mareike.awe_020516.txt,dr.med.mareike.awe,020516,16,802,112
milenka.emilia_032815.txt,milenka.emilia,032815,15,916,127
morenadiaz_122416.txt,morenadiaz,122416,16,1166,196
morenadiaz_020215.txt,morenadiaz,020215,15,990,166
morenadiaz_022416.txt,morenadiaz,022416,16,1272,213
melodie_michelberger_011616.txt,melodie_michelberger,011616,16,251,36
melodie_michelberger_091016.txt,melodie_michelberger,091016,16,103,12
melodie_michelberger_021716.txt,melodie_michelberger,021716,16,229,34
angeliquelini_101116.txt,angeliquelini,101116,16,324,43
morenadiaz_060816.txt,morenadiaz,060816,16,2144,366
anjazeidler_092416.txt,anjazeidler,092416,16,343,46
morenadiaz_122614.txt,morenadiaz,122614,14,1222,203
anjazeidler_071216.txt,anjazeidler,071216,16,736,125
milenka.emilia_031515.txt,milenka.emilia,031515,15,1245,188
angeliquelini_052016.txt,angeliquelini,052016,16,406,56
morenadiaz_041416.txt,morenadiaz,041416,16,1202,196
melodie_michelberger_040114.txt,melodie_michelberger,040114,14,149,15
angeliquelini_122916.txt,angeliquelini,122916,16,520,70
milenka.emilia_103015.txt,milenka.emilia,103015,15,658,89
melodie_michelberger_100915.txt,melodie_michelberger,100915,15,265,42
morenadiaz_120214.txt,morenadiaz,120214,14,787,135
morenadiaz_100715.txt,morenadiaz,100715,15,802,127
morenadiaz_082716.txt,morenadiaz,082716,16,471,80
melodie_michelberger_031316.txt,melodie_michelberger,031316,16,270,33
